"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","G (P)","A (P)","+/- (P)","PPP (P)","SOG (P)","BLK (P)","W (G)","GA (G)","SV (G)","SHO (G)","Image"
"453.p.6068","175","Bjorkstrand","Oliver","SEA","Available","","RW","175.1","15.0","$0.0","9%","7","9","2","3","61","7","","","","","https://s.yimg.com/iu/api/res/1.2/VO993TdudYE9KzxX5oY7vA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10152024/6068.png"
"453.p.5388","176","Namestnikov","Vladislav","WPG","Available","","C,LW","","","","","6","9","9","6","30","19","","","","","https://s.yimg.com/iu/api/res/1.2/AyZQaZBFs1mo0tzKWOXeHw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10172024/5388.png"
"453.p.6367","177","Ekblad","Aaron","FLA","Available","","D","126.1","11.0","$2.0","98%","1","13","6","4","48","40","","","","","https://s.yimg.com/iu/api/res/1.2/RFrYlL1ETpyXJcVoM8TZSA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10142024/6367.png"
"453.p.7927","178","Sandin","Rasmus","WSH","Available","","D","","","","","4","9","19","2","28","44","","","","","https://s.yimg.com/iu/api/res/1.2/FxFMKMLz0KJ.QnEPjRsmpA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10052023/7927.png"
"453.p.8478","179","Miner","Trent","COL","NotAvailable","NA","G","","","","","","","","","","","0","1","12","0","https://s.yimg.com/iu/api/res/1.2/Y0eDwsRk_NNfAzxDbNy9PQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/11092021/8478.png"
"453.p.4901","180","Bobrovsky","Sergei","FLA","Available","","G","40.3","3.8","$15.0","100%","","","","","","","12","52","440","1","https://s.yimg.com/iu/api/res/1.2/p_8woEkIUkxuBq3bJk26oQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10142024/4901.png"
"453.p.8061","181","Kesselring","Michael","UTA","Available","","D","","","","","4","10","11","1","48","22","","","","","https://s.yimg.com/iu/api/res/1.2/0j.0XWoIr1JAY7cFhZsm5w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/11012024/8061.png"
"453.p.6890","182","Terry","Troy","ANA","Available","","C,RW","172.1","14.8","$0.0","5%","6","13","-2","6","63","7","","","","","https://s.yimg.com/iu/api/res/1.2/q5T03fp.SYaYQS666qw7Dw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10092024/6890.png"
"453.p.4263","183","Backlund","Mikael","CGY","Available","","C,LW","173.0","14.8","$0.0","2%","4","8","6","3","70","11","","","","","https://s.yimg.com/iu/api/res/1.2/FtiMnsVMD8nyapSADGWffA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10112024/4263.png"
"453.p.4687","184","Kadri","Nazem","CGY","Available","","C","153.9","13.3","$3.0","90%","8","8","-13","6","87","12","","","","","https://s.yimg.com/iu/api/res/1.2/5lWfCYZ6hOSAcH0jBnCqYg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10112024/4687.png"
"453.p.3638","185","Malkin","Evgeni","PIT","Available","","C,LW","163.3","14.1","$2.0","54%","6","18","-12","7","60","21","","","","","https://s.yimg.com/iu/api/res/1.2/3Kph.8FOGETEcCkuOqX.BA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10182024/3638.png"
"453.p.7525","186","Tippett","Owen","PHI","Available","","LW,RW","77.1","6.9","$9.5","100%","7","7","-9","4","72","20","","","","","https://s.yimg.com/iu/api/res/1.2/Hm6KAeYSvp6PYNpHNCNk_w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10182024/7525.png"
"453.p.6784","187","Blackwood","Mackenzie","SJ","Available","","G","","","","","","","","","","","6","53","528","1","https://s.yimg.com/iu/api/res/1.2/2Yjkfz8DbZzc0Gw0qd6v8A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/6784.png"
"453.p.7117","188","Sergachev","Mikhail","UTA","Available","","D","86.4","7.7","$7.0","100%","7","10","4","5","44","45","","","","","https://s.yimg.com/iu/api/res/1.2/kIiSMDWjA.DhjD30Cq2dGg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/11012024/7117.png"
"453.p.8871","189","Soderblom","Arvid","CHI","Available","","G","","","","","","","","","","","1","20","215","0","https://s.yimg.com/iu/api/res/1.2/S2ZYA7WlWZ9j_aZxVJeKAA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10092024/8871.png"
"453.p.5853","190","Ullmark","Linus","OTT","Available","","G","78.2","7.0","$22.0","100%","","","","","","","7","45","398","1","https://s.yimg.com/iu/api/res/1.2/3K75CvOQVxnAZr_uViRdtA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/5853.png"
"453.p.6386","191","Schmaltz","Nick","UTA","Available","","C,RW","173.0","14.8","$0.0","15%","4","17","-2","5","60","14","","","","","https://s.yimg.com/iu/api/res/1.2/ivRTJC07t17Bg2YehWVPvA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/11012024/6386.png"
"453.p.30075","192","Faber","Brock","MIN","Available","","D","99.4","8.8","$4.0","100%","3","11","14","5","35","31","","","","","https://s.yimg.com/iu/api/res/1.2/9nS9eyqvbpucnY5ybcprkg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/30075.png"
"453.p.5986","193","Nurse","Darnell","EDM","Available","","D","154.8","13.4","$1.5","91%","3","8","6","1","63","46","","","","","https://s.yimg.com/iu/api/res/1.2/p4WEbLzDBns54AxK0Z1nwA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10172024/5986.png"
"453.p.5407","194","Gibson","John","ANA","Available","","G","176.9","15.1","$0.0","2%","","","","","","","4","22","221","0","https://s.yimg.com/iu/api/res/1.2/qdpFEWlSCqUdcp65pBKEKg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/12022024/5407.png"
"453.p.7111","195","Dubois","Pierre-Luc","WSH","Available","","C,LW","176.1","15.5","$1.0","7%","4","15","5","3","41","22","","","","","https://s.yimg.com/iu/api/res/1.2/JsNtrVGtLW0EB5wt_q.R9g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10042024/7111.png"
"453.p.7518","196","Heiskanen","Miro","DAL","Available","","D","61.0","5.6","$13.0","100%","4","10","9","3","57","45","","","","","https://s.yimg.com/iu/api/res/1.2/qrXNq5dr5lj2Y1Thu0_MSA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10112024/7518.png"
"453.p.6383","197","Sanheim","Travis","PHI","Available","","D","169.4","14.6","$1.0","56%","5","12","3","1","64","64","","","","","https://s.yimg.com/iu/api/res/1.2/4MSuyC5hJM9isoYHWERRDw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10182024/6383.png"
"453.p.8285","198","Cozens","Dylan","BUF","Available","","C","175.2","15.1","$1.0","31%","6","6","-6","2","72","20","","","","","https://s.yimg.com/iu/api/res/1.2/_HVL7HftUpAdSnP98oVokA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10102024/8285.png"
"453.p.8314","199","Kochetkov","Pyotr","CAR","Available","","G","92.4","8.2","$7.0","100%","","","","","","","11","42","352","0","https://s.yimg.com/iu/api/res/1.2/4E.gkg8cOb6rY394ljOG2g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10112024/8314.png"
"453.p.7961","200","McBain","Jack","UTA","Available","","C,LW","","","","","9","3","8","0","21","13","","","","","https://s.yimg.com/iu/api/res/1.2/bDRt.TmMWi5m4ZAHF5YTTw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/11012024/7961.png"
"453.p.5329","201","Ekholm","Mattias","EDM","Available","","D","110.6","9.7","$4.5","100%","3","8","6","3","64","33","","","","","https://s.yimg.com/iu/api/res/1.2/M43cCG67kXtVs_LB9ZmatQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10172024/5329.png"
"453.p.4779","202","Foligno","Marcus","MIN","Available","","LW,RW","176.6","15.1","$0.0","2%","4","6","8","0","22","15","","","","","https://s.yimg.com/iu/api/res/1.2/3MlHlhqY0T9XP4AHEgs7Lw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/4779.png"
"453.p.6791","203","Hintz","Roope","DAL","Available","","C","95.6","8.4","$7.5","100%","10","5","1","3","57","15","","","","","https://s.yimg.com/iu/api/res/1.2/.U996EkQrhahWf.4weLvKQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10112024/6791.png"
"453.p.7554","204","Robertson","Jason","DAL","Available","","LW","33.1","3.2","$27.5","100%","5","10","1","4","60","13","","","","","https://s.yimg.com/iu/api/res/1.2/jnbVA9mH3fEpd8xI_ix.gA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10112024/7554.png"
"453.p.7137","205","Frederic","Trent","BOS","Available","","C,RW","169.8","14.5","$0.0","2%","5","6","-8","3","48","10","","","","","https://s.yimg.com/iu/api/res/1.2/W5wpKk5YAe_AyTP_VBunVg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10102024/7137.png"
"453.p.5022","206","Pickard","Calvin","EDM","Available","","G","172.8","14.8","$0.0","3%","","","","","","","6","24","198","0","https://s.yimg.com/iu/api/res/1.2/ngVOcRxRJPrMyCneEsBnBg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10172024/5022.png"
"453.p.5462","207","Pageau","Jean-Gabriel","NYI","Available","","C,RW","","","","","6","7","0","2","47","18","","","","","https://s.yimg.com/iu/api/res/1.2/1bjo3ww.2wcQSHrni0t.9Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10142024/5462.png"
"453.p.4685","208","Schenn","Brayden","STL","Available","","C,LW","170.0","14.5","$0.0","2%","4","10","-6","2","57","25","","","","","https://s.yimg.com/iu/api/res/1.2/qSohBovpTfM1ZmuLicifSg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10102024/4685.png"
"453.p.6760","209","Chabot","Thomas","OTT","Available","","D","165.2","14.3","$1.0","81%","1","12","7","2","63","46","","","","","https://s.yimg.com/iu/api/res/1.2/ZOVNX8fa2FVFawpipbTKzg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/6760.png"
"453.p.6765","210","Boeser","Brock","VAN","Available","","RW","72.6","6.5","$9.0","100%","7","9","-1","7","40","5","","","","","https://s.yimg.com/iu/api/res/1.2/jdfSZoa3OfBy7syLqCPbNg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10132023/6765.png"
"453.p.4699","211","Kreider","Chris","NYR","Available","","LW","40.3","3.8","$16.0","100%","10","1","-1","4","60","5","","","","","https://s.yimg.com/iu/api/res/1.2/myhOw6tSkrjn1QwHtCouNw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10182024/4699.png"
"453.p.8012","212","Cotter","Paul","NJ","Available","","C,LW","","","","","7","5","-2","0","38","12","","","","","https://s.yimg.com/iu/api/res/1.2/9qzqeWeKF2Cyy7LSjl2exA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10152024/8012.png"
"453.p.6350","213","Dowd","Nic","WSH","Available","","C","","","","","8","3","7","0","40","25","","","","","https://s.yimg.com/iu/api/res/1.2/Bp2bkb5BxL1p73MtVUolsQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10052023/6350.png"
"453.p.7910","214","Dobson","Noah","NYI","Available","","D","56.9","5.2","$12.5","100%","2","11","-7","4","85","57","","","","","https://s.yimg.com/iu/api/res/1.2/TIil77hHcP0tTNsFUaCq_Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10142024/7910.png"
"453.p.5096","215","Hyman","Zach","EDM","Available","","LW,RW","22.5","2.3","$29.5","100%","6","5","3","4","61","7","","","","","https://s.yimg.com/iu/api/res/1.2/XM1lwsHETs.vAMEuPM3ccA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10172024/5096.png"
"453.p.7321","216","Moore","Trevor","LA","Available","","LW,RW","157.0","13.6","$1.0","90%","6","11","2","0","59","9","","","","","https://s.yimg.com/iu/api/res/1.2/Yux8TLhsqqhSWrfy1qssmw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10172024/7321.png"
"453.p.7545","217","Tolvanen","Eeli","SEA","Available","","LW,RW","171.1","14.6","$0.0","9%","7","3","-1","3","42","18","","","","","https://s.yimg.com/iu/api/res/1.2/JJZi_uvZzohDExcLcXbHcw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10152024/7545.png"
"453.p.8887","218","Sillinger","Cole","CBJ","Available","","C","","","","","4","14","-3","0","63","15","","","","","https://s.yimg.com/iu/api/res/1.2/4DBsXrO7tThzv.MBEF_IxA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/11132023/8887.png"
"453.p.8291","219","Knight","Spencer","FLA","Available","","G","178.1","15.3","$0.0","3%","","","","","","","5","29","235","1","https://s.yimg.com/iu/api/res/1.2/3EMe8MjqgcGdYRAnbymWeA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/11272023/8291.png"
"453.p.30247","220","Perets","Yaniv","CAR","NotAvailable","NA","G","","","","","","","","","","","0","1","6","0","https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png"
"453.p.30145","221","Coronato","Matt","CGY","Available","","RW","","","","","7","4","9","4","45","4","","","","","https://s.yimg.com/iu/api/res/1.2/RjdfdsHgSsXKvkpdoq4zFQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10112024/30145.png"
"453.p.8296","222","Harley","Thomas","DAL","Available","","D","120.2","10.5","$2.5","100%","2","10","14","0","56","31","","","","","https://s.yimg.com/iu/api/res/1.2/tG1txjRsqtnhPDrRAkFpGg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10112024/8296.png"
"453.p.5747","223","Martinook","Jordan","CAR","Available","","LW","","","","","6","7","10","0","42","17","","","","","https://s.yimg.com/iu/api/res/1.2/ox2gruWfcV0n9KOfJZcxIA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10022024/5747.png"
"453.p.5376","224","Miller","J.T.","VAN","Other","IR-NR - Personal","C,RW","12.7","1.5","$42.0","100%","6","10","1","5","35","4","","","","","https://s.yimg.com/iu/api/res/1.2/hF9HnpxwcemUpHWihrWXsw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10182024/5376.png"
"453.p.5114","225","Mrazek","Petr","CHI","Injured","IR - Groin","G","161.3","14.1","$1.0","9%","","","","","","","7","54","520","0","https://s.yimg.com/iu/api/res/1.2/a5RlSq5G5qcTcWtVft2QKQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10092024/5114.png"
"453.p.4064","226","Letang","Kris","PIT","Available","","D","120.4","10.6","$5.0","100%","5","6","-11","6","69","29","","","","","https://s.yimg.com/iu/api/res/1.2/Ujudbw800NpKEaENm5rv_g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10182024/4064.png"
"453.p.6811","227","Kolesar","Keegan","VGK","Available","","RW","","","","","6","4","2","0","30","19","","","","","https://s.yimg.com/iu/api/res/1.2/K2K._nJffI2o_3dsJAEYNw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/6811.png"
"453.p.7399","228","Brazeau","Justin","BOS","Available","","RW","","","","","6","8","-2","4","45","10","","","","","https://s.yimg.com/iu/api/res/1.2/agWkAYXHG4DufmxjmOgpZw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10102024/7399.png"
"453.p.6055","229","Buchnevich","Pavel","STL","Available","","C,LW","153.6","13.3","$1.0","97%","7","10","-4","5","51","12","","","","","https://s.yimg.com/iu/api/res/1.2/7PbS8mntG4_C_q3jRA17uA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10102024/6055.png"
"453.p.7593","230","Skinner","Stuart","EDM","Available","","G","48.4","4.5","$23.0","100%","","","","","","","9","51","421","1","https://s.yimg.com/iu/api/res/1.2/eMb86um1ewDS0_th8a6G8Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10172024/7593.png"
